,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Name
64,18,02/11/2022,Bangladesh,Adelaide Oval,13*,184,26.29,0/19,69,23.52,,11,,,,36 years 46 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
65,,06/11/2022,Zimbabwe,Melbourne Cricket Ground,-,184,26.29,3/22,72,22.85,,11,,,,36 years 50 days,"Ravichandran Ashwin
            - T20 Internationals - Progressive Averages and Aggregates Summary"
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Name
0,Innings,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age,"Avesh Khan
            - T20 Internationals - Progressive Averages and Aggregates Summary"
1,Innings,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age,"Avesh Khan
            - T20 Internationals - Progressive Averages and Aggregates Summary"
2,,20/02/2022,West Indies,Eden Gardens,-,0,,0/42,0,,,0,,,,25 years 69 days,"Avesh Khan
            - T20 Internationals - Progressive Averages and Aggregates Summary"
3,,27/02/2022,Sri Lanka,Himachal Pradesh Cricket Association Stadium,-,0,,2/23,2,32.50,,0,,,,25 years 76 days,"Avesh Khan
            - T20 Internationals - Progressive Averages and Aggregates Summary"
4,,09/06/2022,South Africa,Arun Jaitley Stadium,-,0,,0/35,2,50.00,,0,,,,25 years 178 days,"Avesh Khan
            - T20 Internationals - Progressive Averages and Aggregates Summary"
5,,12/06/2022,South Africa,Barabati Stadium,-,0,,0/17,2,58.50,1,1,,,,25 years 181 days,"Avesh Khan
            - T20 Internationals - Progressive Averages and Aggregates Summary"
6,,14/06/2022,South Africa,Dr YS Rajasekhara Reddy Cricket Stadium,-,0,,0/35,2,76.00,2,3,,,,25 years 183 days,"Avesh Khan
            - T20 Internationals - Progressive Averages and Aggregates Summary"
7,,17/06/2022,South Africa,Saurashtra Cricket Association Stadium,-,0,,4/18,6,28.33,,3,,,,25 years 186 days,"Avesh Khan
            - T20 Internationals - Progressive Averages and Aggregates Summary"
