,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Name
62,36,19/10/2013,Australia,Punjab Cricket Association IS Bindra Stadium,28,409,17.04,0/58,83,31.69,,15,,,,27 years 32 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
63,,23/10/2013,Australia,JSCA International Stadium Complex,-,409,17.04,2/57,85,31.61,,15,,,,27 years 36 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
64,,30/10/2013,Australia,Vidarbha Cricket Association Stadium,-,409,17.04,2/64,87,31.62,,15,,,,27 years 43 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
65,,02/11/2013,Australia,M Chinnaswamy Stadium,-,409,17.04,2/51,89,31.48,,15,,,,27 years 46 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
66,,21/11/2013,West Indies,Nehru Stadium (Kochi),-,409,17.04,2/42,91,31.25,1,16,,,,27 years 65 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
67,37,24/11/2013,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,19,428,17.12,2/37,93,30.98,,16,,,,27 years 68 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
68,,27/11/2013,West Indies,Green Park,-,428,17.12,2/45,95,30.80,1,17,,,,27 years 71 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
69,38,05/12/2013,South Africa,Wanderers Stadium,19,447,17.19,0/58,95,31.41,,17,,,,27 years 79 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
70,39,08/12/2013,South Africa,Kingsmead,15,462,17.11,1/48,96,31.58,,17,,,,27 years 82 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
71,,11/12/2013,South Africa,SuperSport Park,-,462,17.11,0/63,96,32.24,,17,,,,27 years 85 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
72,40,19/01/2014,New Zealand,McLean Park,12,474,16.93,0/52,96,32.78,1,18,,,,27 years 124 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
73,41,22/01/2014,New Zealand,Seddon Park,5,479,16.52,0/50,96,33.30,,18,,,,27 years 127 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
74,42,25/01/2014,New Zealand,Eden Park,65,544,18.13,1/47,97,33.44,1,19,,,,27 years 130 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
75,43,28/01/2014,New Zealand,Seddon Park,5,549,17.71,0/41,97,33.87,,19,,,,27 years 133 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
76,44,31/01/2014,New Zealand,Westpac Stadium,7,556,17.38,0/37,97,34.25,,19,,,,27 years 136 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
